iter	Passed	Remaining
816	1665	372
817	1667	370
818	1669	368
819	1671	366
820	1673	364
821	1675	362
822	1677	360
823	1680	358
824	1681	356
825	1683	354
826	1685	352
827	1687	350
828	1689	348
829	1691	346
830	1693	344
831	1696	342
832	1698	340
833	1700	338
834	1703	336
835	1704	334
836	1706	332
837	1708	330
838	1711	328
839	1713	326
840	1715	324
841	1717	322
842	1719	320
843	1721	318
844	1723	316
845	1725	314
846	1727	312
847	1729	310
848	1731	308
849	1733	305
850	1735	303
851	1737	301
852	1739	299
853	1741	297
854	1743	295
855	1745	293
856	1747	291
857	1749	289
858	1751	287
859	1753	285
860	1755	283
861	1757	281
862	1760	279
863	1762	277
864	1764	275
865	1766	273
866	1769	271
867	1771	269
868	1773	267
869	1775	265
870	1777	263
871	1779	261
872	1781	259
873	1783	257
874	1786	255
875	1788	253
876	1792	251
877	1800	250
878	1807	248
879	1813	247
880	1819	245
881	1825	244
882	1831	242
883	1835	240
884	1841	239
885	1845	237
886	1849	235
887	1854	233
888	1858	232
889	1861	230
890	1865	228
891	1869	226
892	1872	224
893	1876	222
894	1879	220
895	1882	218
896	1885	216
897	1888	214
898	1892	212
899	1895	210
900	1897	208
901	1900	206
902	1902	204
903	1904	202
904	1907	200
905	1909	198
906	1911	195
907	1913	193
908	1915	191
909	1917	189
910	1919	187
911	1922	185
912	1923	183
913	1925	181
914	1927	179
915	1929	176
916	1931	174
917	1933	172
918	1935	170
919	1937	168
920	1939	166
921	1941	164
922	1943	162
923	1945	160
924	1947	157
925	1948	155
926	1950	153
927	1952	151
928	1954	149
929	1956	147
930	1957	145
931	1959	142
932	1961	140
933	1962	138
934	1964	136
935	1966	134
936	1968	132
937	1969	130
938	1971	128
939	1973	125
940	1974	123
941	1976	121
942	1978	119
943	1979	117
944	1981	115
945	1982	113
946	1984	111
947	1986	108
948	1988	106
949	1990	104
950	1992	102
951	1994	100
952	1995	98
953	1997	96
954	1998	94
955	2000	92
956	2002	89
957	2004	87
958	2005	85
959	2007	83
960	2009	81
961	2010	79
962	2012	77
963	2014	75
964	2016	73
965	2018	71
966	2019	68
967	2021	66
968	2022	64
969	2024	62
970	2025	60
971	2027	58
972	2029	56
973	2030	54
974	2032	52
975	2034	50
976	2036	47
977	2038	45
978	2040	43
979	2042	41
980	2044	39
981	2046	37
982	2048	35
983	2050	33
984	2052	31
985	2053	29
986	2055	27
987	2056	24
988	2058	22
989	2060	20
990	2061	18
991	2063	16
992	2065	14
993	2067	12
994	2069	10
995	2070	8
996	2072	6
997	2074	4
998	2076	2
999	2077	0
